,Unnamed: 0,Danish,English,Polish
0,0,er        ,is        ,jest        
1,1,jeg        ,I        ,ja
2,2,det        ,it        ,to        
3,3,du        ,you        ,ty
4,4,ikke       ,not       ,nie
5,5,at       ,that       ,że       
6,6,en       ,a       ,-
7,7,og       ,and       ,i       
8,8,har       ,have       ,mają       
9,9,vi       ,we       ,my       
10,10,til       ,to       ,do       
11,11,på       ,at       ,na       
12,12,hvad       ,what       ,co       
13,13,mig       ,me       ,ja       
14,14,med       ,with       ,z       
15,15,de       ,the       ,       
16,16,den       ,the       ,-
17,17,for       ,for       ,dla       
18,18,der       ,there       ,tam       
19,19,så       ,so       ,więc       
20,20,dig       ,you       ,ty       
21,21,han       ,he       ,on       
22,22,kan       ,can       ,może       
23,23,af       ,by       ,przez       
24,24,vil       ,will       ,będzie       
25,25,var       ,was       ,był       
26,26,her       ,here       ,tutaj       
27,27,et       ,one       ,jeden       
28,28,skal       ,must       ,musi       
29,29,ved       ,at       ,na       
30,30,men       ,but       ,ale       
31,31,om       ,about       ,o       
32,32,nu       ,now       ,teraz       
33,33,som       ,as       ,jak       
34,34,ja       ,yes       ,tak       
35,35,min       ,my       ,mój       
36,36,nej       ,no       ,nie       
37,37,noget       ,something       ,coś       
38,38,ham       ,him       ,on       
39,39,hun       ,she       ,ona       
40,40,være       ,be       ,być       
41,41,bare       ,just       ,po prostu       
42,42,kom       ,come       ,chodź
43,43,din       ,your       ,Twój       
44,44,hvor       ,where       ,gdzie       
45,45,os       ,us       ,nas
46,46,dem       ,them       ,ich       
47,47,hvis       ,if       ,jeśli       
48,48,ud       ,out       ,na zewnątrz
49,49,må       ,may       ,może
50,50,fra       ,from       ,z       
51,51,se       ,see       ,zobaczyć       
52,52,godt       ,well       ,dobrze       
53,53,have      ,have      ,mają
54,54,ville      ,would      ,byłoby
55,55,gør      ,do      ,zrobić
56,56,lige      ,just      ,tylko
57,57,okay      ,okay      ,okay      
58,58,alle      ,all      ,wszystko      
59,59,op      ,up      ,w górę      
60,60,lad      ,let      ,niech
61,61,hvorfor      ,why      ,dlaczego      
62,62,tror      ,think      ,pomyśl
63,63,sig      ,go to     ,udać się do
64,64,tak      ,thanks      ,dzięki      
65,65,hvordan      ,how      ,jak      
66,66,kommer      ,come      ,wejdź
67,67,få      ,get      ,uzyskać      
68,68,kunne      ,could      ,może
69,69,gøre      ,do      ,zrobić
70,70,meget      ,much      ,dużo      
71,71,eller      ,or      ,lub      
72,72,hende      ,her      ,jej      
73,73,ingen      ,no      ,nie ma      
74,74,tilbage      ,left      ,w lewo      
75,75,hvem      ,who      ,kto      
76,76,gå      ,go      ,wejdą na stronę      
77,77,bliver      ,will be      ,będzie      
78,78,havde      ,had      ,      
79,79,efter      ,after      ,po      
80,80,nok      ,enough      ,wystarczająco dużo      
81,81,man      ,man      ,człowiek      
82,82,da      ,da      ,da      
83,83,går      ,goes      ,idzie      
84,84,alt      ,everything      ,wszystko
85,85,sagde      ,said      ,powiedział      
86,86,mit      ,my      ,mój      
87,87,når      ,when      ,kiedy      
88,88,ind      ,into      ,w      
89,89,vores      ,our      ,nasz      
90,90,over      ,over      ,nad      
91,91,aldrig      ,never      ,nigdy      
92,92,nogen      ,anyone      ,nikt
93,93,måske      ,maybe      ,może      
94,94,hans      ,his      ,jego      
95,95,skulle      ,should      ,powinien      
96,96,mand      ,man      ,człowiek      
97,97,selv      ,even      ,nawet      
98,98,to      ,to      ,na      
99,99,mere      ,more      ,więcej      
100,100,jo      ,jo      ,jo      
101,101,jer      ,you      ,ty      
102,102,siger      ,says      ,mówi      
103,103,også      ,also      ,także      
104,104,lidt      ,a little      ,trochę      
105,105,dit      ,your      ,twój      
106,106,kun      ,only      ,tylko      
107,107,deres      ,their      ,ich      
108,108,far      ,father      ,ojciec      
109,109,ser      ,see      ,zobacz      
110,110,blev      ,was      ,był      
111,111,får      ,get      ,uzyskać
112,112,hej      ,hi      ,cześć
113,113,sådan      ,like this      ,jak to      
114,114,dette      ,this      ,to      
115,115,igen      ,again      ,ponownie      
116,116,sammen      ,together      ,razem      
117,117,denne      ,this      ,to      
118,118,hele      ,all      ,wszystko      
119,119,hold      ,team      ,zespół      
120,120,mine      ,mine      ,moja      
121,121,tager      ,take      ,take      
122,122,ned      ,down      ,down      
123,123,komme      ,come      ,come      
124,124,dag      ,day      ,dzień      
125,125,undskyld      ,sorry      ,przepraszam
126,126,tage      ,take      ,wziąć      
127,127,blive      ,become      ,stać się      
128,128,mor      ,mother      ,matka      
129,129,væk      ,away      ,z dala
130,130,end      ,than      ,niż      
131,131,åh      ,oh      ,oh      
132,132,sige      ,say      ,powiedz
133,133,været      ,been      ,był      
134,134,tid      ,time      ,czas
135,135,fordi      ,because      ,ponieważ      
136,136,helt      ,completely      ,całkowicie      
137,137,sted      ,place      ,miejsce      
138,138,før      ,before      ,przed      
139,139,gjorde      ,did      ,zrobił      
140,140,god      ,good      ,dobrze      
141,141,gang      ,time      ,czas      
142,142,år      ,year      ,rok      
143,143,tag      ,tag      ,tag      
144,144,laver      ,do      ,do      
145,145,mange      ,many      ,wiele      
146,146,nogle      ,some      ,some      
147,147,dine      ,your      ,twój      
148,148,fik      ,got      ,dostał
149,149,mener      ,think      ,pomyśl
150,150,ting      ,thing      ,rzecz
151,151,lille      ,little      ,mała
152,152,siden      ,since      ,ponieważ      
153,153,altid      ,always      ,zawsze      
154,154,mr      ,mr      ,pan      
155,155,brug      ,use      ,używać      
156,156,folk      ,people      ,ludzie      
157,157,virkelig      ,really      ,naprawdę      
158,158,vent      ,wait      ,czekaj      
159,159,finde      ,find      ,znaleźć      
160,160,anden      ,other      ,inne      
162,162,hjem      ,home      ,dom      
163,163,gud      ,god      ,bóg      
164,164,liv      ,life      ,życie      
165,165,vej      ,way      ,droga      
166,166,kender      ,know      ,poznaj      
167,167,andre      ,others      ,inni      
168,168,klar      ,ready      ,gotowy      
169,169,tale      ,talk      ,rozmawiać      
170,170,mod      ,towards      ,w kierunku      
171,171,uden      ,without      ,bez      
172,172,elsker      ,love      ,miłość      
173,173,set      ,seen      ,widziane      
174,174,tre      ,three      ,trzy      
175,175,hør      ,listen      ,słuchać      
176,176,ret      ,right      ,dobrze      
177,177,gerne      ,like      ,jak      
178,178,hr      ,hr      ,hr      
179,179,giv      ,give      ,podać
180,180,sir      ,sir      ,sir      
181,181,sidste      ,last      ,ostatni      
182,182,tog      ,train      ,pociąg
183,183,fanden      ,damn      ,cholera      
184,184,intet      ,nothing      ,nic      
185,185,død      ,dead      ,martwy      
186,186,fint      ,fine      ,w porządku      
187,187,vel      ,well      ,dobrze      
188,188,nå      ,reach      ,zasięg
189,189,jeres      ,your      ,twój
190,190,lide      ,like      ,jak      
191,191,troede      ,thought      ,myśl      
192,192,hendes      ,her      ,jej      
193,193,hen      ,to      ,do      
194,194,blevet      ,been      ,była      
195,195,vide      ,know      ,wiedzieć
196,196,gjort      ,done      ,zrobione      
197,197,sker      ,happens      ,dzieje się      
198,198,bedre      ,better      ,lepiej      
199,199,ven      ,friend      ,przyjaciel
